Citation	wID	1830	1837	1840	1841	1879	1920
4 Nephi 1:2	11.01	,
4 Nephi 1:2	11.02	⌴
4 Nephi 1:2	12	the
4 Nephi 1:2	12.01	⌴
4 Nephi 1:2	13	people
4 Nephi 1:2	13.01	⌴
4 Nephi 1:2	14	were
4 Nephi 1:2	14.01	⌴
4 Nephi 1:2	15	all
4 Nephi 1:2	15.01	⌴
4 Nephi 1:2	16	converted
4 Nephi 1:2	16.01	⌴
4 Nephi 1:2	17	unto
4 Nephi 1:2	17.01	⌴
4 Nephi 1:2	18	the
4 Nephi 1:2	18.01	⌴
4 Nephi 1:2	19	Lord
4 Nephi 1:2	19.01	,
4 Nephi 1:2	19.02	⌴
4 Nephi 1:2	20	upon
4 Nephi 1:2	20.01	⌴
4 Nephi 1:2	21	all
4 Nephi 1:2	21.01	⌴
4 Nephi 1:2	22	the
4 Nephi 1:2	22.01	⌴
4 Nephi 1:2	23	face
4 Nephi 1:2	23.01	⌴
4 Nephi 1:2	24	of
4 Nephi 1:2	24.01	⌴
4 Nephi 1:2	25	the
4 Nephi 1:2	25.01	⌴
4 Nephi 1:2	26	land
4 Nephi 1:2	26.01	,
4 Nephi 1:2	26.02	⌴
4 Nephi 1:2	27	both
4 Nephi 1:2	27.01	⌴
4 Nephi 1:2	28	Nephites
4 Nephi 1:2	28.01	⌴
4 Nephi 1:2	29	and
4 Nephi 1:2	29.01	⌴
4 Nephi 1:2	30	Lamanites
4 Nephi 1:2	30.01	,
4 Nephi 1:2	30.02	⌴
4 Nephi 1:2	31	and
4 Nephi 1:2	31.01	⌴
4 Nephi 1:2	32	there
4 Nephi 1:2	32.01	⌴
4 Nephi 1:2	33	was
4 Nephi 1:2	33.01	⌴
4 Nephi 1:2	34	no
4 Nephi 1:2	34.01	⌴
4 Nephi 1:2	35	contentions
4 Nephi 1:2	35.01	⌴
4 Nephi 1:2	36	and
4 Nephi 1:2	36.01	⌴
4 Nephi 1:2	37	disputations
4 Nephi 1:2	37.01	⌴
4 Nephi 1:2	38	among
4 Nephi 1:2	38.01	⌴
4 Nephi 1:2	39	them
4 Nephi 1:2	39.01	,
4 Nephi 1:2	39.02	⌴
4 Nephi 1:2	40	and
4 Nephi 1:2	40.01	⌴
4 Nephi 1:2	41	every
4 Nephi 1:2	41.01	⌴
4 Nephi 1:2	42	man
4 Nephi 1:2	42.01	⌴
4 Nephi 1:2	43	did
4 Nephi 1:2	43.01	⌴
4 Nephi 1:2	44	deal
4 Nephi 1:2	44.01	⌴
4 Nephi 1:2	45	justly
4 Nephi 1:2	45.01	⌴
4 Nephi 1:2	46	one
4 Nephi 1:2	46.01	⌴
4 Nephi 1:2	47	with
4 Nephi 1:2	47.01	⌴
4 Nephi 1:2	48	another
4 Nephi 1:2	48.01	;
4 Nephi 1:3	1	and
4 Nephi 1:3	1.01	⌴
4 Nephi 1:3	2	they
4 Nephi 1:3	2.01	⌴
4 Nephi 1:3	3	had
4 Nephi 1:3	3.01	⌴
4 Nephi 1:3	4	all
4 Nephi 1:3	4.01	⌴
4 Nephi 1:3	5	things
4 Nephi 1:3	5.01	⌴
4 Nephi 1:3	6	common
4 Nephi 1:3	6.01	⌴
4 Nephi 1:3	7	among
4 Nephi 1:3	7.01	⌴
4 Nephi 1:3	8	them
4 Nephi 1:3	8.01	,
4 Nephi 1:3	8.02	⌴
4 Nephi 1:3	9	therefore
4 Nephi 1:3	9.01	⌴
4 Nephi 1:3	10	there
4 Nephi 1:3	10.01	⌴
4 Nephi 1:3	11	were
4 Nephi 1:3	11.01	⌴
4 Nephi 1:3	12	not
4 Nephi 1:3	12.01	⌴
4 Nephi 1:3	13	rich
4 Nephi 1:3	13.01	⌴
4 Nephi 1:3	14	and
4 Nephi 1:3	14.01	⌴
4 Nephi 1:3	15	poor
4 Nephi 1:3	15.01	,
4 Nephi 1:3	15.02	⌴
4 Nephi 1:3	16	bond
4 Nephi 1:3	16.01	⌴
4 Nephi 1:3	17	and
4 Nephi 1:3	17.01	⌴
4 Nephi 1:3	18	free
4 Nephi 1:3	18.01	,
4 Nephi 1:3	18.02	⌴
4 Nephi 1:3	19	but
4 Nephi 1:3	19.01	⌴
4 Nephi 1:3	20	they
4 Nephi 1:3	20.01	⌴
4 Nephi 1:3	21	were
4 Nephi 1:3	21.01	⌴
4 Nephi 1:3	22	all
4 Nephi 1:3	22.01	⌴
4 Nephi 1:3	23	made
4 Nephi 1:3	23.01	⌴
4 Nephi 1:3	24	free
4 Nephi 1:3	24.01	,
4 Nephi 1:3	24.02	⌴
4 Nephi 1:3	25	and
4 Nephi 1:3	25.01	⌴
4 Nephi 1:3	26	partakers
4 Nephi 1:3	26.01	⌴
4 Nephi 1:3	27	of
