Citation	wID	1830	1837	1840	1841	1879	1920
Helaman 1:2	35	sons	sons
Helaman 1:2	35.01	⌴	⌴
Helaman 1:2	36	of	of
Helaman 1:2	36.01	⌴	⌴
Helaman 1:2	37	Pahoran	Pahoran
Helaman 1:2	37.01	.	.
Helaman 1:3	1	Now	Now
Helaman 1:3	1.01	⌴	⌴
Helaman 1:3	2	these	these
Helaman 1:3	2.01	⌴	⌴
Helaman 1:3	3	are	are
Helaman 1:3	3.01	⌴	⌴
Helaman 1:3	4	their	their
Helaman 1:3	4.01	⌴	⌴
Helaman 1:3	5	names	names
Helaman 1:3	5.01	⌴	⌴
Helaman 1:3	6	which	who
Helaman 1:3	6.01	⌴	⌴
Helaman 1:3	7	did	did
Helaman 1:3	7.01	⌴	⌴
Helaman 1:3	8	contend	contend
Helaman 1:3	8.01	⌴	⌴
Helaman 1:3	9	for	for
Helaman 1:3	9.01	⌴	⌴
Helaman 1:3	10	the	the
Helaman 1:3	10.01	⌴	⌴
Helaman 1:3	11	judgement	judgement
Helaman 1:3	11.01	⌴	⌴
Helaman 1:3	12	seat	seat
Helaman 1:3	12.01	,	,
Helaman 1:3	12.02	⌴	⌴
Helaman 1:3	13	which	who
Helaman 1:3	13.01	⌴	⌴
Helaman 1:3	14	did	did
Helaman 1:3	14.01	⌴	⌴
Helaman 1:3	15	also	also
Helaman 1:3	15.01	⌴	⌴
Helaman 1:3	16	cause	cause
Helaman 1:3	16.01	⌴	⌴
Helaman 1:3	17	the	the
Helaman 1:3	17.01	⌴	⌴
Helaman 1:3	18	people	people
Helaman 1:3	18.01	⌴	⌴
Helaman 1:3	19	to	to
Helaman 1:3	19.01	⌴	⌴
Helaman 1:3	20	contend	contend
Helaman 1:3	20.01	:	:
Helaman 1:3	20.02	⌴	⌴
Helaman 1:3	21	Pahoran	Pahoran
Helaman 1:3	21.01	,	,
Helaman 1:3	21.02	⌴	⌴
Helaman 1:3	22	Paanchi	Paanchi
Helaman 1:3	22.01	,	,
Helaman 1:3	22.02	⌴	⌴
Helaman 1:3	23	and	and
Helaman 1:3	23.01	⌴	⌴
Helaman 1:3	24	Pacumeni	Pacumeni
Helaman 1:3	24.01	.	.
Helaman 1:4	1	Now	Now
Helaman 1:4	1.01	⌴	⌴
Helaman 1:4	2	these	these
Helaman 1:4	2.01	⌴	⌴
Helaman 1:4	3	are	are
Helaman 1:4	3.01	⌴	⌴
Helaman 1:4	4	not	not
Helaman 1:4	4.01	⌴	⌴
Helaman 1:4	5	all	all
Helaman 1:4	5.01	⌴	⌴
Helaman 1:4	6	the	the
Helaman 1:4	6.01	⌴	⌴
Helaman 1:4	7	sons	sons
Helaman 1:4	7.01	⌴	⌴
Helaman 1:4	8	of	of
Helaman 1:4	8.01	⌴	⌴
Helaman 1:4	9	Pahoran	Pahoran
Helaman 1:4	9.01	,	,
Helaman 1:4	9.02	⌴	⌴
Helaman 1:4	9.03	(	(
Helaman 1:4	10	for	for
Helaman 1:4	10.01	⌴	⌴
Helaman 1:4	11	he	he
Helaman 1:4	11.01	⌴	⌴
Helaman 1:4	12	had	had
Helaman 1:4	12.01	⌴	⌴
Helaman 1:4	13	many	many
Helaman 1:4	13.01	,	,
Helaman 1:4	13.02	)	)
Helaman 1:4	13.03	⌴	⌴
Helaman 1:4	14	but	but
Helaman 1:4	14.01	⌴	⌴
Helaman 1:4	15	these	these
Helaman 1:4	15.01	⌴	⌴
Helaman 1:4	16	are	are
Helaman 1:4	16.01	⌴	⌴
Helaman 1:4	17	they	they
Helaman 1:4	17.01	⌴	⌴
Helaman 1:4	18	which	who
Helaman 1:4	18.01	⌴	⌴
Helaman 1:4	19	did	did
Helaman 1:4	19.01	⌴	⌴
Helaman 1:4	20	contend	contend
Helaman 1:4	20.01	⌴	⌴
Helaman 1:4	21	for	for
Helaman 1:4	21.01	⌴	⌴
Helaman 1:4	22	the	the
Helaman 1:4	22.01	⌴	⌴
Helaman 1:4	23	judgement	judgement
Helaman 1:4	23.01	⌴	⌴
Helaman 1:4	24	seat	seat
Helaman 1:4	24.01	;	;
Helaman 1:4	24.02	⌴	⌴
Helaman 1:4	25	therefore	therefore
Helaman 1:4	25.01	⌴	⌴
Helaman 1:4	26	they	they
Helaman 1:4	26.01	⌴	⌴
Helaman 1:4	27	did	did
Helaman 1:4	27.01	⌴	⌴
Helaman 1:4	28	cause	cause
Helaman 1:4	28.01	⌴	⌴
Helaman 1:4	29	three	three
Helaman 1:4	29.01	⌴	⌴
Helaman 1:4	30	divisions	divisions
Helaman 1:4	30.01	⌴	⌴
Helaman 1:4	31	among	among
Helaman 1:4	31.01	⌴	⌴
Helaman 1:4	32	the	the
Helaman 1:4	32.01	⌴	⌴
Helaman 1:4	33	people	people
Helaman 1:4	33.01	.	.
Helaman 1:5	1	Nevertheless	Nevertheless
Helaman 1:5	1.01	,	,
Helaman 1:5	1.02	⌴	⌴
Helaman 1:5	2	it	it
Helaman 1:5	2.01	⌴	⌴
Helaman 1:5	3	came	came
Helaman 1:5	3.01	⌴	⌴
Helaman 1:5	4	to	to
Helaman 1:5	4.01	⌴	⌴
Helaman 1:5	5	pass	pass
Helaman 1:5	5.01	⌴	⌴
Helaman 1:5	6	that	that
Helaman 1:5	6.01	⌴	⌴
Helaman 1:5	7	Pahoran	Pahoran
Helaman 1:5	7.01	⌴	⌴
Helaman 1:5	8	was	was
Helaman 1:5	8.01	⌴	⌴
Helaman 1:5	9	appointed	appointed
Helaman 1:5	9.01	⌴	⌴
Helaman 1:5	10	by	by
Helaman 1:5	10.01	⌴	⌴
Helaman 1:5	11	the	the
Helaman 1:5	11.01	⌴	⌴
Helaman 1:5	12	voice	voice
Helaman 1:5	12.01	⌴	⌴
Helaman 1:5	13	of	of
Helaman 1:5	13.01	⌴	⌴
Helaman 1:5	14	the	the
Helaman 1:5	14.01	⌴	⌴
Helaman 1:5	15	people	people
Helaman 1:5	15.01	⌴	⌴
Helaman 1:5	16	to	to
Helaman 1:5	16.01	⌴	⌴
Helaman 1:5	17	be	be
Helaman 1:5	17.01	⌴	⌴
Helaman 1:5	18	a	∅
Helaman 1:5	18.01	⌴	∅
Helaman 1:5	19	Chief	chief
Helaman 1:5	19.01	⌴	⌴
Helaman 1:5	20	Judge	judge
Helaman 1:5	20.01	⌴	⌴
Helaman 1:5	21	and	and
Helaman 1:5	21.01	⌴	⌴
Helaman 1:5	22	a	a
Helaman 1:5	22.01	⌴	⌴
Helaman 1:5	23	governor	governor
Helaman 1:5	23.01	⌴	⌴
Helaman 1:5	24	over	over
Helaman 1:5	24.01	⌴	⌴
Helaman 1:5	25	the	the
Helaman 1:5	25.01	⌴	⌴
Helaman 1:5	26	people	people
Helaman 1:5	26.01	⌴	⌴
Helaman 1:5	27	of	of
Helaman 1:5	27.01	⌴	⌴
Helaman 1:5	28	Nephi	Nephi
Helaman 1:5	28.01	.	.
Helaman 1:6	1	And	And
Helaman 1:6	1.01	⌴	⌴
Helaman 1:6	2	it	it
Helaman 1:6	2.01	⌴	⌴
Helaman 1:6	3	came	came
Helaman 1:6	3.01	⌴	⌴
Helaman 1:6	4	to	to
Helaman 1:6	4.01	⌴	⌴
Helaman 1:6	5	pass	pass
Helaman 1:6	5.01	⌴	⌴
Helaman 1:6	6	that	that
Helaman 1:6	6.01	⌴	⌴
Helaman 1:6	7	Pacumeni	Pacumeni
Helaman 1:6	7.01	,	,
Helaman 1:6	7.02	⌴	⌴
Helaman 1:6	8	when	when
Helaman 1:6	8.01	⌴	⌴
Helaman 1:6	9	he	he
Helaman 1:6	9.01	⌴	⌴
Helaman 1:6	10	saw	saw
Helaman 1:6	10.01	⌴	⌴
Helaman 1:6	11	that	that
Helaman 1:6	11.01	⌴	⌴
Helaman 1:6	12	he	he
Helaman 1:6	12.01	⌴	⌴
Helaman 1:6	13	could	could
Helaman 1:6	13.01	⌴	⌴
Helaman 1:6	14	not	not
Helaman 1:6	14.01	⌴	⌴
Helaman 1:6	15	obtain	obtain
Helaman 1:6	15.01	⌴	⌴
Helaman 1:6	16	the	the
Helaman 1:6	16.01	⌴	⌴
Helaman 1:6	17	judgement	judgement
Helaman 1:6	17.01	⌴	⌴
Helaman 1:6	18	seat	seat
Helaman 1:6	18.01	,	,
Helaman 1:6	18.02	⌴	⌴
Helaman 1:6	19	he	he
Helaman 1:6	19.01	⌴	⌴
Helaman 1:6	20	did	did
Helaman 1:6	20.01	⌴	⌴
Helaman 1:6	21	unite	unite
Helaman 1:6	21.01	⌴	⌴
Helaman 1:6	22	with	with
Helaman 1:6	22.01	⌴	⌴
Helaman 1:6	23	the	the
Helaman 1:6	23.01	⌴	⌴
Helaman 1:6	24	voice	voice
Helaman 1:6	24.01	⌴	⌴
Helaman 1:6	25	of	of
Helaman 1:6	25.01	⌴	⌴
Helaman 1:6	26	the	the
Helaman 1:6	26.01	⌴	⌴
Helaman 1:6	27	people	people
Helaman 1:6	27.01	.	.
Helaman 1:7	1	But	But
Helaman 1:7	1.01	⌴	⌴
Helaman 1:7	2	behold	behold
Helaman 1:7	2.01	,	,
Helaman 1:7	2.02	⌴	⌴
Helaman 1:7	3	Paanchi	Paanchi
Helaman 1:7	3.01	,	,
Helaman 1:7	3.02	⌴	⌴
Helaman 1:7	4	and	and
Helaman 1:7	4.01	⌴	⌴
Helaman 1:7	5	that	that
Helaman 1:7	5.01	⌴	⌴
Helaman 1:7	6	part	part
Helaman 1:7	6.01	⌴	⌴
Helaman 1:7	7	of	of
Helaman 1:7	7.01	⌴	⌴
Helaman 1:7	8	the	the
Helaman 1:7	8.01	⌴	⌴
Helaman 1:7	9	people	people
Helaman 1:7	9.01	⌴	⌴
Helaman 1:7	10	that	that
Helaman 1:7	10.01	⌴	⌴
Helaman 1:7	11	were	were
Helaman 1:7	11.01	⌴	⌴
Helaman 1:7	12	desirous	desirous
Helaman 1:7	12.01	⌴	⌴
Helaman 1:7	13	that	that
Helaman 1:7	13.01	⌴	⌴
Helaman 1:7	14	he	he
Helaman 1:7	14.01	⌴	⌴
Helaman 1:7	15	should	should
Helaman 1:7	15.01	⌴	⌴
Helaman 1:7	16	be	be
Helaman 1:7	16.01	⌴	⌴
Helaman 1:7	17	their	their
Helaman 1:7	17.01	⌴	⌴
Helaman 1:7	18	governor	governor
Helaman 1:7	18.01	,	,
Helaman 1:7	18.02	⌴	⌴
Helaman 1:7	19	was	was
Helaman 1:7	19.01	⌴	⌴
Helaman 1:7	20	exceeding	exceeding
Helaman 1:7	20.01	⌴	⌴
Helaman 1:7	21	wroth	wroth
Helaman 1:7	21.01	;	;
Helaman 1:7	21.02	⌴	⌴
Helaman 1:7	22	therefore	therefore
Helaman 1:7	22.01	⌴	⌴
Helaman 1:7	23	he	he
Helaman 1:7	23.01	⌴	⌴
Helaman 1:7	24	was	was
Helaman 1:7	24.01	⌴	⌴
Helaman 1:7	25	about	about
Helaman 1:7	25.01	⌴	⌴
Helaman 1:7	26	to	to
Helaman 1:7	26.01	⌴	⌴
Helaman 1:7	27	flatter	flatter
Helaman 1:7	27.01	⌴	⌴
Helaman 1:7	28	away	away
Helaman 1:7	28.01	⌴	⌴
Helaman 1:7	29	those	those
Helaman 1:7	29.01	⌴	⌴
Helaman 1:7	30	people	people
Helaman 1:7	30.01	⌴	⌴
Helaman 1:7	31	to	to
Helaman 1:7	31.01	⌴	⌴
Helaman 1:7	32	rise	rise
Helaman 1:7	32.01	⌴	⌴
Helaman 1:7	33	up	up
Helaman 1:7	33.01	⌴	⌴
Helaman 1:7	34	in	in
Helaman 1:7	34.01	⌴	⌴
Helaman 1:7	35	rebellion	rebellion
Helaman 1:7	35.01	⌴	⌴
Helaman 1:7	36	against	against
Helaman 1:7	36.01	⌴	⌴
Helaman 1:7	37	their	their
Helaman 1:7	37.01	⌴	⌴
Helaman 1:7	38	brethren	brethren
Helaman 1:7	38.01	.	.
Helaman 1:8	1	And	And
Helaman 1:8	1.01	⌴	⌴
Helaman 1:8	2	it	it
Helaman 1:8	2.01	⌴	⌴
Helaman 1:8	3	came	came
Helaman 1:8	3.01	⌴	⌴
Helaman 1:8	4	to	to
Helaman 1:8	4.01	⌴	⌴
Helaman 1:8	5	pass	pass
Helaman 1:8	5.01	⌴	⌴
Helaman 1:8	6	as	as
Helaman 1:8	6.01	⌴	⌴
Helaman 1:8	7	he	he
Helaman 1:8	7.01	⌴	⌴
Helaman 1:8	8	was	was
Helaman 1:8	8.01	⌴	⌴
Helaman 1:8	9	about	about
Helaman 1:8	9.01	⌴	⌴
Helaman 1:8	10	to	to
Helaman 1:8	10.01	⌴	⌴
Helaman 1:8	11	do	do
Helaman 1:8	11.01	⌴	⌴
Helaman 1:8	12	this	this
Helaman 1:8	12.01	,	,
Helaman 1:8	12.02	⌴	⌴
Helaman 1:8	13	behold	behold
Helaman 1:8	13.01	,	,
Helaman 1:8	13.02	⌴	⌴
Helaman 1:8	14	he	he
Helaman 1:8	14.01	⌴	⌴
Helaman 1:8	15	was	was
Helaman 1:8	15.01	⌴	⌴
Helaman 1:8	16	taken	taken
Helaman 1:8	16.01	,	,
Helaman 1:8	16.02	⌴	⌴
Helaman 1:8	17	and	and
Helaman 1:8	17.01	⌴	⌴
Helaman 1:8	18	was	was
Helaman 1:8	18.01	⌴	⌴
Helaman 1:8	19	tried	tried
Helaman 1:8	19.01	⌴	⌴
Helaman 1:8	20	according	according
Helaman 1:8	20.01	⌴	⌴
Helaman 1:8	21	to	to
Helaman 1:8	21.01	⌴	⌴
Helaman 1:8	22	the	the
Helaman 1:8	22.01	⌴	⌴
Helaman 1:8	23	voice	voice
Helaman 1:8	23.01	⌴	⌴
Helaman 1:8	24	of	of
Helaman 1:8	24.01	⌴	⌴
Helaman 1:8	25	the	the
Helaman 1:8	25.01	⌴	⌴
Helaman 1:8	26	people	people
Helaman 1:8	26.01	,	,
Helaman 1:8	26.02	⌴	⌴
Helaman 1:8	27	and	and
Helaman 1:8	27.01	⌴	⌴
Helaman 1:8	28	condemned	condemned
Helaman 1:8	28.01	⌴	⌴
Helaman 1:8	29	unto	unto
Helaman 1:8	29.01	⌴	⌴
Helaman 1:8	30	death	death
Helaman 1:8	30.01	;	;
Helaman 1:8	30.02	⌴	⌴
Helaman 1:8	31	for	for
Helaman 1:8	31.01	⌴	⌴
Helaman 1:8	32	he	he
Helaman 1:8	32.01	⌴	⌴
Helaman 1:8	33	had	had
Helaman 1:8	33.01	⌴	⌴
Helaman 1:8	34	raised	raised
Helaman 1:8	34.01	⌴	⌴
Helaman 1:8	35	up	up
Helaman 1:8	35.01	⌴	⌴
Helaman 1:8	36	in	in
Helaman 1:8	36.01	⌴	⌴
Helaman 1:8	37	rebellion	rebellion
Helaman 1:8	37.01	,	,
Helaman 1:8	37.02	⌴	⌴
Helaman 1:8	38	and	and
Helaman 1:8	38.01	⌴	⌴
Helaman 1:8	39	sought	sought
Helaman 1:8	39.01	⌴	⌴
Helaman 1:8	40	to	to
Helaman 1:8	40.01	⌴	⌴
Helaman 1:8	41	destroy	destroy
Helaman 1:8	41.01	⌴	⌴
Helaman 1:8	42	the	the
Helaman 1:8	42.01	⌴	⌴
Helaman 1:8	43	liberty	liberty
Helaman 1:8	43.01	⌴	⌴
Helaman 1:8	44	of	of
Helaman 1:8	44.01	⌴	⌴
Helaman 1:8	45	the	the
Helaman 1:8	45.01	⌴	⌴
Helaman 1:8	46	people	people
Helaman 1:8	46.01	.	.
Helaman 1:9	1	Now	Now
Helaman 1:9	1.01	⌴	⌴
Helaman 1:9	2	when	when
Helaman 1:9	2.01	⌴	⌴
Helaman 1:9	3	those	those
Helaman 1:9	3.01	⌴	⌴
Helaman 1:9	4	people	people
Helaman 1:9	4.01	⌴	⌴
Helaman 1:9	5	which	who
Helaman 1:9	5.01	⌴	⌴
Helaman 1:9	6	were	were
Helaman 1:9	6.01	⌴	⌴
