Citation	wID	1830	1837	1840	1841	1879	1920
Jarom 1:2	59	For	For
Jarom 1:2	59.01	⌴	⌴
Jarom 1:2	60	have	have
Jarom 1:2	60.01	⌴	⌴
Jarom 1:2	61	not	not
Jarom 1:2	61.01	⌴	⌴
Jarom 1:2	62	they	they
Jarom 1:2	62.01	⌴	⌴
Jarom 1:2	63	revealed	revealed
Jarom 1:2	63.01	⌴	⌴
Jarom 1:2	64	the	the
Jarom 1:2	64.01	⌴	⌴
Jarom 1:2	65	plan	plan
Jarom 1:2	65.01	⌴	⌴
Jarom 1:2	66	of	of
Jarom 1:2	66.01	⌴	⌴
Jarom 1:2	67	salvation	salvation
Jarom 1:2	67.01	?	?
Jarom 1:2	67.02	⌴	⌴
Jarom 1:2	68	I	I
Jarom 1:2	68.01	⌴	⌴
Jarom 1:2	69	say	say
Jarom 1:2	69.01	⌴	⌴
Jarom 1:2	70	unto	unto
Jarom 1:2	70.01	⌴	⌴
Jarom 1:2	71	you	you
Jarom 1:2	71.01	,	,
Jarom 1:2	71.02	⌴	⌴
Jarom 1:2	72	Yea	yea
Jarom 1:2	72.01	;	;
Jarom 1:2	72.02	⌴	⌴
Jarom 1:2	73	and	and
Jarom 1:2	73.01	⌴	⌴
Jarom 1:2	74	this	this
Jarom 1:2	74.01	⌴	⌴
Jarom 1:2	75	sufficeth	sufficeth
Jarom 1:2	75.01	⌴	⌴
Jarom 1:2	76	me	me
Jarom 1:2	76.01	.	.
Jarom 1:3	1	Behold	Behold
Jarom 1:3	1.01	,	,
Jarom 1:3	1.02	⌴	⌴
Jarom 1:3	2	it	it
Jarom 1:3	2.01	⌴	⌴
Jarom 1:3	3	is	is
Jarom 1:3	3.01	⌴	⌴
Jarom 1:3	4	expedient	expedient
Jarom 1:3	4.01	⌴	⌴
Jarom 1:3	5	that	that
Jarom 1:3	5.01	⌴	⌴
Jarom 1:3	6	much	much
Jarom 1:3	6.01	⌴	⌴
Jarom 1:3	7	should	should
Jarom 1:3	7.01	⌴	⌴
Jarom 1:3	8	be	be
Jarom 1:3	8.01	⌴	⌴
Jarom 1:3	9	done	done
Jarom 1:3	9.01	⌴	⌴
Jarom 1:3	10	among	among
Jarom 1:3	10.01	⌴	⌴
Jarom 1:3	11	this	this
Jarom 1:3	11.01	⌴	⌴
Jarom 1:3	12	people	people
Jarom 1:3	12.01	,	,
Jarom 1:3	12.02	⌴	⌴
Jarom 1:3	13	because	because
Jarom 1:3	13.01	⌴	⌴
Jarom 1:3	14	of	of
Jarom 1:3	14.01	⌴	⌴
Jarom 1:3	15	the	the
Jarom 1:3	15.01	⌴	⌴
Jarom 1:3	16	hardness	hardness
Jarom 1:3	16.01	⌴	⌴
Jarom 1:3	17	of	of
Jarom 1:3	17.01	⌴	⌴
Jarom 1:3	18	their	their
Jarom 1:3	18.01	⌴	⌴
Jarom 1:3	19	hearts	hearts
Jarom 1:3	19.01	,	,
Jarom 1:3	19.02	⌴	⌴
Jarom 1:3	20	and	and
Jarom 1:3	20.01	⌴	⌴
Jarom 1:3	21	the	the
Jarom 1:3	21.01	⌴	⌴
Jarom 1:3	22	deafness	deafness
Jarom 1:3	22.01	⌴	⌴
Jarom 1:3	23	of	of
Jarom 1:3	23.01	⌴	⌴
Jarom 1:3	24	their	their
Jarom 1:3	24.01	⌴	⌴
Jarom 1:3	25	ears	ears
Jarom 1:3	25.01	,	,
Jarom 1:3	25.02	⌴	⌴
Jarom 1:3	26	and	and
Jarom 1:3	26.01	⌴	⌴
Jarom 1:3	27	the	the
Jarom 1:3	27.01	⌴	⌴
Jarom 1:3	28	blindness	blindness
Jarom 1:3	28.01	⌴	⌴
Jarom 1:3	29	of	of
Jarom 1:3	29.01	⌴	⌴
Jarom 1:3	30	their	their
Jarom 1:3	30.01	⌴	⌴
Jarom 1:3	31	minds	minds
Jarom 1:3	31.01	,	,
Jarom 1:3	31.02	⌴	⌴
Jarom 1:3	32	and	and
Jarom 1:3	32.01	⌴	⌴
Jarom 1:3	33	the	the
Jarom 1:3	33.01	⌴	⌴
Jarom 1:3	34	stiffness	stiffness
Jarom 1:3	34.01	⌴	⌴
Jarom 1:3	35	of	of
