Citation	wID	1830	1837	1840	1841	1879	1920
Mormon 1:3	4	are
Mormon 1:3	4.01	⌴
Mormon 1:3	5	about
Mormon 1:3	5.01	⌴
Mormon 1:3	6	twenty
Mormon 1:3	6.01	⌴
Mormon 1:3	7	and
Mormon 1:3	7.01	⌴
Mormon 1:3	8	four
Mormon 1:3	8.01	⌴
Mormon 1:3	9	years
Mormon 1:3	9.01	⌴
Mormon 1:3	10	old
Mormon 1:3	10.01	,
Mormon 1:3	10.02	⌴
Mormon 1:3	11	I
Mormon 1:3	11.01	⌴
Mormon 1:3	12	would
Mormon 1:3	12.01	⌴
Mormon 1:3	13	that
Mormon 1:3	13.01	⌴
Mormon 1:3	14	ye
Mormon 1:3	14.01	⌴
Mormon 1:3	15	should
Mormon 1:3	15.01	⌴
Mormon 1:3	16	remember
Mormon 1:3	16.01	⌴
Mormon 1:3	17	the
Mormon 1:3	17.01	⌴
Mormon 1:3	18	things
Mormon 1:3	18.01	⌴
Mormon 1:3	19	that
Mormon 1:3	19.01	⌴
Mormon 1:3	20	ye
Mormon 1:3	20.01	⌴
Mormon 1:3	21	have
Mormon 1:3	21.01	⌴
Mormon 1:3	22	observed
Mormon 1:3	22.01	⌴
Mormon 1:3	23	concerning
Mormon 1:3	23.01	⌴
Mormon 1:3	24	this
Mormon 1:3	24.01	⌴
Mormon 1:3	25	people
Mormon 1:3	25.01	;
Mormon 1:3	25.02	⌴
Mormon 1:3	26	and
Mormon 1:3	26.01	⌴
Mormon 1:3	27	when
Mormon 1:3	27.01	⌴
Mormon 1:3	28	ye
Mormon 1:3	28.01	⌴
Mormon 1:3	29	are
Mormon 1:3	29.01	⌴
Mormon 1:3	30	of
Mormon 1:3	30.01	⌴
Mormon 1:3	31	that
Mormon 1:3	31.01	⌴
Mormon 1:3	32	age
Mormon 1:3	32.01	,
Mormon 1:3	32.02	⌴
Mormon 1:3	33	go
Mormon 1:3	33.01	⌴
Mormon 1:3	34	to
Mormon 1:3	34.01	⌴
Mormon 1:3	35	the
Mormon 1:3	35.01	⌴
Mormon 1:3	36	land
Mormon 1:3	36.01	⌴
Mormon 1:3	37	of
Mormon 1:3	37.01	⌴
Mormon 1:3	38	Antum
Mormon 1:3	38.01	,
Mormon 1:3	38.02	⌴
Mormon 1:3	39	unto
Mormon 1:3	39.01	⌴
Mormon 1:3	40	a
Mormon 1:3	40.01	⌴
Mormon 1:3	41	hill
Mormon 1:3	41.01	,
Mormon 1:3	41.02	⌴
Mormon 1:3	42	which
Mormon 1:3	42.01	⌴
Mormon 1:3	43	shall
Mormon 1:3	43.01	⌴
Mormon 1:3	44	be
Mormon 1:3	44.01	⌴
Mormon 1:3	45	called
Mormon 1:3	45.01	⌴
Mormon 1:3	46	Shim
Mormon 1:3	46.01	;
Mormon 1:3	46.02	⌴
Mormon 1:3	47	and
Mormon 1:3	47.01	⌴
Mormon 1:3	48	there
Mormon 1:3	48.01	⌴
